Headlines,Article,Companies,Sectors,Interest
ITC reports 24% rise in Rs 1 Crore+ salaries amid expansion and profit surge,"ITC Ltd has reported a significant increase in the number of employees earning over Rs 1 crore annually, with a 24.11% rise in FY24 compared to the previous year. According to the company’s annual report, 68 additional high-ranking officials joined the top salary bracket, bringing the total to 350 in the financial year 2023-24, up from 282 in 2022-23. The substantial increase in high-earning employees highlights ITC's expanding operations and profitability. The company spent Rs 6,134.35 crore on employee benefits, including Rs 5,352.94 crore in salaries and wages, on a consolidated basis in FY24. This marks a 6.9% increase from the previous year when the company spent Rs 5,736.22 crore, including Rs 4,885.49 crore in salaries and wages. A report by The Telegraph attributes this trend to ITC’s expanding portfolio, which has necessitated increased hiring. Over the past two to three years, ITC has opened eight new factories and two hotels across India, boosting its human resource deployment. ITC's profitability has also seen substantial growth, with a 24.5% increase in profit to Rs 18,753.31 crore in FY23. This growth has led to an upward adjustment in employee remuneration. As of March 31, 2024, ITC employed 24,567 permanent employees. The median remuneration of employees increased by 5%, while the average remuneration rose by 10% in FY24. Excluding key managerial personnel (KMP), the average remuneration increased by 9%. The median salary for male employees, excluding KMPs and board members, was Rs 7,14,281, while female employees earned a median salary of Rs 7,03,725. ITC has diversified its presence across various sectors, including tobacco, packaged foods, paper and paperboards, hospitality, agri commodities, and health and personal care (FMCG). Notably, as per Business Standard’s report, ITC's top executives received substantial pay hikes. Sanjiv Puri, chairman and managing director, saw a 49.6% increase in gross remuneration, reaching Rs 28.62 crore in FY24 compared to Rs 19.12 crore the previous year. Executive Director B. Sumant received a 52.4% hike, bringing his pay to Rs 13.6 crore. Other executive directors, Supratim Dutta and Hemant Malik, received pay increases of 59% and 30%, respectively. ITC’s remuneration policy allows the chairman and executive directors to earn performance bonuses up to 300% and 200% of their basic/consolidated salary, respectively, based on the company's performance. In a related development, The Economic Times reported that ITC Ltd has surpassed Britannia Industries to become the second-largest listed packaged foods company by sales in India, behind Nestle. ITC's foods business posted consolidated sales of Rs 17,194.5 crore for the fiscal year ended March 31, 2024. In comparison, Britannia reported consolidated sales of Rs 16,769.2 crore, while Nestle India reported total sales of Rs 24,275.5 crore for fiscal 2024, a 15-month period due to a change in the company's financial year.
       ",ITC,Consumer Goods,1
Tata Consumer gets tax demand of Rs 171.83 crore from Income Tax Department,"FMCG firm Tata Consumer Products Ltd on 29 June said it has received a tax demand of Rs 171.83 crore from the Income Tax department for the assessment year 2019-20, firm said in a stock exchange filing. In a regulatory filing it said,"" The Company has received an Assessment Order dated June 27, 2024, under section 143(3) read with section 144C(13) of Income-tax Act, 1961, for the income tax return filed for the financial year 2019-20, wherein certain additions/ disallowances with respect to returned income, have been proposed by the assessing officer. Thedemand raised is Rs.171.83 crore (including interest). ""The company believes that the aforementioned demand is not maintainable and it is in the process of preferring an appeal and rectification against the said order,"" the company further said in the statement. The stock price of the company closed at Rs 1,098.00, 1.14 percent higher on BSE on Friday.Meanwhile, Tata Consumer Products Ltd reported a 26.69 per cent decline in consolidated net profit to ₹212.26 crore in the fourth quarter ended March 31, 2024, impacted by exceptional items related to costs of amalgamation, acquisitions, asset write-downs and fair value loss on financial instruments. The company had posted a consolidated net profit of ₹289.56 crore in the same period a year ago, Tata Consumer Products Ltd (TCPL) said in a regulatory filing. Consolidated revenue from operations in the quarter under review stood at ₹3,926.94 crore as against ₹3,618.73 crore, it added.
       ",Tata Consumer,Consumer Goods,1
SAIL revokes suspension of directors and officials following government orders,"The Steel Authority of India Limited (SAIL) has announced through an exchange filing that the suspension of VS Chakravarthy, Director (Commercial), and AK Tulsiani, Director (Finance), has been revoked following orders from the Ministry of Steel dated June 28, 2024. Additionally, SAIL has lifted the suspension of several below board level officials, including SK Sharma, Executive Director (F&A), Vinod Gupta, Executive Director (Commercial), Atul Mathur, Executive Director (Sales & ITD), and RM Suresh, Executive Director (Marketing Services), effective immediately. This decision comes in compliance with SEBI (Listing Obligations & Disclosure Requirements) Regulations, 2015. In response to ongoing investigations directed by the Lokpal, the company had initially suspended these officials along with 26 other below board level employees in January this year. The Steel Ministry had suspended three directors from the PSU Steel Authority of India (SAIL) vide its letters dated January 19, 2024. SAIL had then informed it also placed 26 numbers of below board level officials of the company on suspension with immediate effect. Responding to a MoneyControl query, the steel PSU had said, ""The issue pertains to some investigations being carried out as per the directions of Lokpal.""
       ",SAIL,Materials (Steel),0
"Defence PSU Bharat Electronics receives Rs 3,170-cr order to upgrade BMP tanks; stock up 1.5%","Bharat Electronics Limited (BEL) on June 28 inked a contract worth Rs 3,172 crore with Armoured Vehicles Nigam Limited (AVNL) at the latter’s headquarters in Chennai, the state-run company said in an exchange filing. The share price of the company gained 1.59 percent to settle at Rs 309.35 on NSE. Under the contract, the defence public sector undertaking will supply and install an indigenously designed and developed Sighting and Fire Control System (FCS) for the upgrade of BMP 2/2K tanks of the Indian Army, along with a comprehensive engineering support package, the exchange filing said. In addition, the navratna company has secured other orders valued at Rs 481 crore following the last disclosure on May 22, 2024, which comprises of Doppler Weather Radar, Classroom jammers, spares and services etc. With these, BEL has received accumulated orders totalling Rs 4,803 crore in the current financial year, the company said.
       ",Bharat Electronics,Defence,1
Wockhardt likely to get DCGI nod for respiratory drug by year-end; stock up 5%,"Wockhardt  expects its new drug for pneumonia and other respiratory illnesses to get the regulatory nod by the end of this year, the pharma firm’s chairperson Habil F Khorakiwala has said. The go-ahead by the Drug Controller General of India for WCK 4873 (Nafithromycin) would cap a 25-year-old research programme for the drug, he told CNBC-TV18 on June 28. The R&D programme was aided by the leadership team that has not changed for the past 25 years, he said. At 2.01 pm, the stock was trading at Rs 686.6 on the National Stock Exchange, up 4.99 percent from the previous close. WCK 4873 or Nafithromycin is a drug used for community-acquired bacterial pneumonia (CABP) and other bacterial respiratory illnesses. The phase 3 trials of the drug took place in December. The study compared Moxifloxacin with Nafithromycin. The test showed that Nafithromycin’s usage resulted in a 96.7 percent clinical cure rate, which was better than 94.5 percent for Moxifloxacin. The pharma company’s investigational drug Zaynich (WCK 5222) has successfully treated a young immuno-compromised patient in the US, which makes it the first case in the country where it has been used to fight a complex infection caused by extreme-drug resistant pseudomonas, the firm said. Zaynich (Zidebactam/Cefepime) is an investigational antibiotic, categorised under the novel class of 'β-lactam enhancers'. Khorakiwala said they have also used WCK 5222 for compassionate use in 30 patients In India. “Seen 100 percent success in compassionate use on patients In India,” he said. The company said it has undertaken global clinical trials for the drug and updates have been good. It expects global approval in 8 months. According to experts, WCK 5222 is an antibiotic in development that combines a currently approved cephalosporin, cefepime, with a novel β-lactam enhancer (BLE) and zidebactam. The drug has been granted a susceptibility breakpoint of 64 mg/L for around 10 Gram negative pathogens showing high resistance rates, highest ever, according to the company. ""A high breakpoint of 64 mg/L suggests Zaynich’s (Zidebactam/Cefepime- WCK 5222) strong potential to cover all the clinically important, extreme drug resistant Gram negative pathogens in seriously ill patients."" Currently, Zaynich (Zidebactam/Cefepime- WCK 5222) is undergoing a multinational phase 3 study, which is expected to be completed by FY25, facilitating its global registration and marketing authorization, the company said.
       ",Wockhardt,Healthcare,0
Healthcare Global to acquire majority stake in Vizag Hospital; stock rises,"Healthcare Global on June 28 said that it has enters into Share Purchase Agreement (SPA) with Vizag Hospital for an upfront acquisition of 51 percent stake in the company for Rs 207.8 crore. It will also acquire balance 49 percent of equity share capital in tranches. In a regulatory filing, Healthcare Global said within 18 months of first closing date, the company shall acquire a further 34 percent stake in Vizag Hospital. Cost of acquisition of an additional 34 percent stake shall be Rs 155 crore. This acquisition would help the company to secure leadership in a highly attractive micro-market, enhance operational and clinical synergies, unlock capacities, and strengthen our market positioning, Healthcare Global said in a statement. Post the acquisition announcement, shares of Healthcare Global were trading nearly 3 percent higher at Rs 382 apiece on BSE around 13:20 hours IST. Vizag Hospital, owns and operates a comprehensive cancer care hospital in the city of Vishakhapatnam, Andhra Pradesh having 196 operational beds facility, led by Dr. Murali Krishna Voonna, a renowned onco-surgeon.
       ",Healthcare Global,Healthcare,1
Nazara Tech shares rise 3% on Rs 270-cr acquisition of German gaming firm Freaks 4U,"Shares of Nazara Technologies Limited surged close to 3 percent on June 28 after the gaming firm’s subsidiary signed an agreement to acquire 86.49 percent stake of Freaks 4U Gaming for Rs 271.48 crore by share swap. At 11:23 am, the stock price of the company was trading 2.51 percent higher at Rs 833.7 on NSE. Nazara Tech already owns 13.51 percent stake of Freaks 4U and will hold 57 percent after the completion of the deal, the company said in a statement on June 28. It will have an exclusive right to acquire the balance 43 percent stake from the Germany-based firm’s founders at its discretion, the company statement added. The acquisition will be carried out by Nodwin Gaming International, a wholly-owned subsidiary of Nodwin Gaming Private Limited, which is a material subsidiary of Nazara Technologies, the stock exchange filing said. The deal will help Nodwin improve its penetration in the developed markets and serve as a revenue driver, the firm said. “This acquisition is set to bolster Nodwin’s access to developed markets, in addition to execution and planning capabilities in PC gaming and games publishing support services. The integration of Freaks 4U’s capabilities, along with its presence in key developed markets, will serve as substantial revenue drivers. This strategic alignment will complement Nodwin’s strong execution capabilities in emerging markets, enabling the establishment of a global delivery model – a pioneering achievement in the esports sector,” the statement said. The deal is likely to be completed by July 15, 2024, subject to regulatory requirements. Freaks 4U, started in 2011, is a Berlin-based company that focuses on gaming and esports. It had reported a turnover of Rs 240 crore for the December 2023 quarter.
       ",Nazara Technologies,Technology (Gaming),1
Ashok Leyland partners with Bajaj Finance for vehicle finance,"Commercial vehicle maker Ashok Leyland Ltd on Friday said it has partnered with Bajaj Finance for financial of vehicles across India. The company has signed a Memorandum of Understanding (MoU) with Bajaj Finance, a part of Bajaj Finserv, for the purpose, Ashok Leyland said in a statement. The partnership will enable both Ashok Leyland and Bajaj Finance to offer customised and seamless financial solutions to their customers, it added. ""This strategic partnership will strengthen Ashok Leyland's market position,"" Ashok Leyland CFO KM Balaji said. Bajaj Finance Deputy Managing Director, Anup Saha said, ""We are confident that with Bajaj Finance's best-in-class India stack processes more vehicle owners will gain from this partnership and scale their operations."" The sales and marketing teams of the two companies will work together to develop joint marketing and financing programs, mutually enhancing business volumes under the partnership, the statement said.
       ",Ashok Leyland,Automotive,0
These stocks stand to gain traction if the Budget proves generous for the middle class,"Highlights  Consumption expected to get a boost should a tax cut materialise Tweaking slabs as well as an increase in standard deduction expected Middle class likely to benefit MC Pro identifies stocks to play the probable upsideThere is little doubt now that India has seen a K-shaped recovery (uneven performances  by sectors) after the COVID pandemic. This, coupled with high inflation, has impacted items of  mass consumption, although premium categories appear to be doing fine.  The GDP data also suggests that government
                                    ",,,0
Weekly Tactical Pick | The recent correction in this coal stock is just a blip,"Highlights  Higher manufacturing, delayed monsoon supporting power demand Company’s production to increase, in line with growing demand E-auction prices likely to remain stable Increase in FSA prices will add another lever Dividend yield of 5-6%, reasonable valuation  Coal India’s stock (CIL, CMP: Rs 467; Market capitalisation: Rs 287,830 crore; Nifty: 24,044) has fallen ~6 percent and underperformed the Nifty (up 4 percent) in the last one month. We think the recent correction is momentary while the long-term tailwinds are keeping the stock tactically
                                    ",,,0
PI Industries adds another feather in its cap with this new acquisition,"Highlights  Announces strategic acquisition of Plant Health Care Plc Biologicals hold a promising outlook Trading at~29x FY26e P/E  On June 26, 2024, PI Industries (PIIND; CMP: Rs 3,819; Market cap: Rs 57,949 crore; Rating: Overweight) announced that it will acquire a UK-based company, Plant Health Care Plc (PHC), along with its subsidiaries in the US, Brazil, Mexico and other countries. The acquisition will be done through PI’s wholly owned international subsidiary for a total consideration of ~£32.8 million (Rs 344 crore)
                                    ",PI Industries,Chemicals,0
Drug shortages in the US continue after rising to decade highs,"A new study by the National Comprehensive Cancer Network (NCCN) shows continuing shortage of oncology drugs in the US. In a survey by NCCN, 89 percent of the large cancer centres reported shortage of at least one oncology medication. The data for the NCCN survey was collected from May 28 to June 11, 2024. “Critical drug shortages were not a new problem last year and they continue to be a problem now,” Crystal S. Denlinger, chief executive officer",,,0
Liquor firm Som Distilleries challenges license suspension in child labour case,"Indian liquor company Som Group has asked a state court to quash a government decision to temporarily suspend manufacturing licenses of one of its distilleries where a federal agency found 59 children working illegally, a court filing showed. Police, who have been investigating the Som distillery in Raisen district in the central state of Madhya Pradesh, locked its premises after the National Commission for Protection of Child Rights this month found 39 boys and 20 girls working at the factory. The agency also released photos of children's hands it said showed burns due to contact with chemicals, and said some of the children were transported to the factory in school buses. In a 169-page court filing in the High Court of Madhya Pradesh, Som argued the licenses were wrongly suspended as the investigation into the allegations of child labour were still ongoing. ""There is no conclusion to the effect as to whether in reality any child was employed or not,"" Som Distilleries Pvt Ltd said in a court filing, which is not public but was reviewed by Reuters. Som did not respond to a request for comment, and neither did the Madhya Pradesh state government. The case was heard on Thursday but no order was passed. In the previous statement, Som Distilleries and Breweries Ltd said the issue was related to a plant run by its associate company, which used labour supplied by contractors who may not have carried out proper age checks. The firm's stock has fallen 9.3% since the human rights agency visited the distillery on June 15.
       ",Som Distilleries,Consumer Staples,0
Polycab India promoters likely to sell part stake worth upto $257 million via block deal,"The promoter group and family members of electrical solutions provider Polycab India is planning to sell part stake of 2.04 percent for upto $257 million (at the upper end of price range) via a block deal, sources in the know told Moneycontrol on the condition of anonymity. The block deal has been launched and investment bank Jefferies is acting as the advisor, one of the persons above added. ""It’s a liquidity event for the promoter group,"" a second person said without elaborating further. The promoter group of Polycab India currently holds 65.24 percent in the company, according to exchange filings. The firm’s share price has risen by 28.73 percent in the last six months. The offer price range for the trade is 0 percent to 6.5 percent discount to the last closing price of Polycab India, Rs 6,989.25 per share and the lock-up period is 90 days, according to the deal term sheet reviewed by Moneycontrol. Polycab India and Jefferies couldn’t be reached for an immediate comment.
       ",Polycab India,Industrials,1
"HCLTech's 0.46% stake likely to be sold for Rs 1,757 cr via block deal on Friday: CNBC-TV18","IT major HCL Technologies' (HCLTech) 0.46 percent equity stake is likely to be sold through block deal for Rs 1,757 crore on June 28, sources told CNBC-TV18 on June 27. Floor price for the block deal is likely to be Rs 1,414.9 per share, which implies discount of 2.75 percent to current market price. On June 27, HCLTech's shares on NSE closed 0.8 percent higher at Rs 1,455 apiece. An undisclosed seller will sell 1.24 crore shares through the block deal, reported CNBC-Awaaz citing sources. Citi Group will be the broker for the deal, the channel reported.HCLTech reported net profit of Rs 3,986 crore in Q4FY24 as against Rs 3,983 crore in the year-ago period. The IT firm had declared Rs 18 dividend. Net profit for the quarter was up 0.1 percent YoY, and declined by 8.4 percent sequentially. The company posted a 7.1 percent increase in revenue at Rs 28,499 crore in Q4FY24 as compared to Rs 26,606 crore in the year-ago period.
       ",HCLTech,Information Technology,1
Zomato extends its 'restaurant services hub' offering pan-India,"Online food ordering and delivery platform Zomato on Thursday said it is expanding its ’restaurant services hub’, a one-stop solution to help restaurants in scaling up, across the country. Through its restaurant services hub, Zomato currently offers services related to staffing and licensing essentials to restaurants. In the last six months, the restaurant services hub has already serviced over 3,200 restaurants and it will be extended to all restaurants across India, irrespective of their arrangement with Zomato, the company said in a statement. The company is seeking to provide help in overcoming the complexities of running a restaurant, right from figuring out the ideal location and finding the ideal suppliers to getting requisite licences and hiring the right staff. ”The restaurant services hub platform is only a step towards our vision of creating a full-stack solution for any restaurant owner looking to set up shop or scale their existing business. By strengthening partnerships and facilitating collaboration within the industry, we are focused on building a more resilient and inclusive ecosystem in the country,” Zomato CEO, Food Delivery, Rakesh Ranjan said. Zomato said it will soon launch multiple services such as POS (point of sale) device integrations and hygiene audits to help restaurant partners at every step of their journey right from planning, launching, operating, and scaling their businesses. Last week, the company’s rival Swiggy had launched a new feature on its partner app to connect restaurants with staffing experts to help in hiring qualified candidates across various roles.
       ",Zomato,Consumer Services,1
"AU Small Finance Bank's board approves fundraise of Rs 11,000 crore","The board of AU Small Finance Bank on June 27 approved a fundraise of Rs 11,000 crore, the lender said in an exchange filing. The bank said Rs 5,000 crore will be raised through private placement or qualified institutions placement (QIP) or preferential allotment or through a combination thereof or any other alternative mode, as may be considered appropriate. It will also raise Rs 6,000 crore in one or more tranches by issue of bonds and non-convertible debentures, the lender said in the statement. On June 20, it was reported that private equity firm WestBridge Capital divested a 1.75 percent stake in the AU Small Finance Bank for Rs 845 crore through an open market transaction. WestBridge Capital, through its affiliate Westbridge AIF I, sold shares of the Jaipur-based AU Small Finance Bank through a bulk deal on the National Stock Exchange (NSE). As per data available, Westbridge AIF I offloaded 1.30 crore shares in AU Small Finance Bank. Meanwhile, another lender YES Bank approved its fund-raising plans by issue of debt securities. The bank plans to raise funds in Indian and foreign currency through the issue of debt securities, it said. “The options could be non-convertible debentures (NCDs), bonds or medium-term note (MTN) among others,” the bank said.
       ",AU Small Finance Bank,Financial Services,1
Ambuja Cements board approves merger of Adani Cementation with itself,"Billionaire Gautam Adani-owned Ambuja Cements on June 27 said that its board has approved merging with Adani Cementation Limited, a subsidiary of Adani Enterprises. Through this proposed scheme, Adani Enterprises will get 8.7 million shares of Ambuja Cements. The scheme will consolidate cement capacity within the group to bring synergistic benefits for all stakeholders, the company said in a regulatory filing. It will enable Adani Enterprises to absorb the business of Ambuja Cements and enhance its manufacturing capacity to carry out the manufacturing operation more effectively and seamlessly, it added. Further, Adani Cementation's limestone resource to further enhance Ambuja’s consolidated limestone reserves. Meanwhile, shares of Ambuja Cements on June 27 closed 0.56 percent higher at Rs 660.55 apiece on BSE. Recently, Ambuja Cements on June 13 said it will acquire 100 percent stake in Penna Cement Industries Ltd (PCIL) for an enterprise value of Rs 10,422 crore. The move comes as Adani targets capacity of 140 million tonne per annum (MTPA) by 2028. The deal comes as Adani aims to capture 20 per cent market share by FY28 amid robust demand for the building material in the country. ""By acquiring PCIL, Ambuja is poised to expand its market presence in south India and reinforce its position as a pan-India leader in the cement industry,"" the company had said in a statement. In April, the cement maker signed another agreement to acquire a grinding unit in Tamil Nadu for Rs 413.75 crore, aiming to expand its presence in the South Indian market.
       ",Ambuja Cements,Materials (Cement),1
"Marico expands its breakfast menu, launches Saffola Muesli","FMCG major Marico has announced the launch of Saffola Muesli in an effort to strengthen its breakfast menu. The company also aims to leverage the brand’s equity in the adult breakfast segment. ""Our foray into the muesli category marks a significant milestone in line with our brand proposition of offering consumers “better for you” products with a “taste first” approach,” said Vaibhav Bhanchawat, chief operating officer, India & foods business (Marico Ltd). In the last few years, the company has launched various new products to expand its portfolio. To boost its healthy food category, the firm launched crunchy muesli in three new flavours- Kesar Crunch, Berry Crunch and Choco Crunch, the firm’s exchange filing said. “The idea was to deliver consumer delight through our unique flavour pops format that gives a burst of flavour and an irresistibly crunchy experience. We believe these popular flavours launched under Saffola Muesli with Crunch Flavour Pops will help consumers “brighten up their mornings to take on the day,” Bhanchawat said. The stock price of the FMCG company was trading at Rs 610.55, lower by 0.42 percent on NSE at 13:14 pm.
       ",Marico,Consumer Goods,0
Fairfax India Holdings unit sells 9.7% stake in CSB Bank for $70 million,"Fairfax India Holdings Corp said on Thursday its wholly-owned subsidiary, FIH Mauritius Investments, sold a 9.7% stake in Indian private lender CSB Bank to comply with regulatory norms. The proceeds of the sale amounted to 5.9 billion rupees ($70.7 million) in gross terms, Fairfax India said in a release. After the sale, Fairfax India's stake in Kerala-based CSB Bank will reduce to 40% from 49.72% at the end of March. Toronto-based Fairfax India Holdings is backed by Canadian billionaire Prem Watsa and invests in public as well as private equity securities and debt instruments in India. In November, FIH Mauritius Investments received approval from the Reserve Bank of India to bring down its shareholding in CSB Bank to 26% within 15 years, instead of 15% as advised by the central bank earlier. CSB Bank's shares were up 4.1% in early trade on Thursday.
       ",Fairfax India Holdings,Financial Services,1
"Indian Oil to boost LNG portfolio to 20 million tonnes by 2030, executive says","Indian Oil aims to increase its liquified natural gas portfolio to 20 million tonnes per year (MTPA) by 2030, from 7.8 MTPA currently, Sujoy Choudhury, head of planning and business development at the company, said at an industry event on Thursday. The power sector is expected to be one of the key drivers for Indian LNG demand, Choudhury added.
       ",Indian Oil,Energy,1
Air India to deploy A350 planes on Delhi-London route from September 1,"Air India will start operating its wide-body A350-900 aircraft on the Delhi-London route with two daily flights from September 1. The flights will mark the introduction of the plane on the international long-haul route, as Air India revamps and expands its operations to strengthen presence in international and domestic segments. ""The A350-900 will replace the currently deployed Boeing 777-300 ER and Boeing 787-8 Dreamliner on 14 of 17 weekly flights. As a result, an additional 336 seats will be available on the Delhi-London Heathrow route each week,"" the airline said in a release on Thursday. Besides, the airline will introduce premium economy class seats in the A350-900 planes operating on the Delhi-London Heathrow route. Air India will operate two daily flights between the national capital and London Heathrow with the A350-900 aircraft starting from September 1. The airline started operating the A350-900 plane on the international route from May 1 with services between Delhi and Dubai. The Tata Group-owned airline operates 31 weekly flights to London Heathrow -- 17 from Delhi and 14 from Mumbai. It also flies from Ahmedabad, Amritsar, Bengaluru, Goa and Kochi to London Gatwick. There are 17 weekly flights on this route. Besides, the carrier operates 6 weekly flights to Birmingham from Delhi and Amritsar. Air India started inducting the A350 planes this year and are being used for domestic flights as well. The airline has placed an order for 40 A350 planes and 6 of them are in its fleet. ""The deployment of our flagship A350s and the B777s with upgraded cabin interiors to London Heathrow marks a significant milestone for Air India,"" Air India CEO and MD Campbell Wilson said. (With PTI inputs) ",Air India,Aviation,0
"25% of new hires at Tamil Nadu plant are married women, clarifies iPhone maker Foxconn","Apple'S iPhone maker Foxconn on June 27 informed the Central government that around 25 percent its new employees are married women and its safety protocol, which requires everyone to avoid wearing metal irrespective of gender or religion, is not discriminatory, sources familiar with the matter said. The Taiwanese company shared an informal note with the government after reports suggested it is not hiring married women. The company said that such stipulations are not part of its policy and these claims may have been made by those disgruntled individuals who were not hired, sources said. They added that such media reports malign the fast-growing Indian manufacturing sector. Meanwhile, the ministry of labour and employment on June 26 had sought a detailed report from the Tamil Nadu labour department on the issue of married women not being allowed to work at the Foxconn India Apple iPhone Plant, as reported by the media. ""Foxconn had clarified that 25 percent of the latest hires are married women. This would mean nearly one-third of the total women are married. This ratio compares favourably to any factory in this sector currently operating in India,"" one of the sources said. The Foxconn factory currently has about 70 percent women and 30 percent men and the Tamil Nadu plant is the largest factory for women employment in the country with the total employment having touched 45,000 workers during peak periods, they said. The company has also informed that the discussion around Hindu married women being discriminated against for wearing metals (ornaments and jewelry) is ""entirely slanted"" and wearing metal in such factories is a safety issue, a fact well recognised by both the industry and the government. ""Any person wearing metals - man or woman - regardless of their status (single or married) and their religion (Hindu, Muslim, Christian, Sikh etc.) are required to remove metals while working in the factory,"" the source said quoting the company's informal note. For safety reasons, no one wearing metal is allowed to work on the shop floor and this is a prevalent practice in several industries. According to sources, the company has stated that the media report is based on anecdotal comments by 5-10 people or potential job seekers. These comments likely came from candidates who did not get the job or no longer work at Foxconn. No immediate comments were received from Foxconn in response to an email query sent to the company on the matter. (With agency inputs) ",Foxconn,Technology Hardware & Electronics Manufacturing,0
"BPCL sees nearly flat annual crude processing, executive says","India's state-run Bharat Petroleum Corp does not see any major change in its annual crude processing this fiscal year, as it plans to shut a crude unit at its biggest refinery for a month for maintenance, an executive said on Thursday. BPCL, the country's third-largest oil refiner, plans to shut its 120,000 barrels per day (bpd) crude unit and some secondary units at the 310,000 bpd Kochi refinery in southern India from mid-September, said Sanjay Khanna, the company's head of refineries, at an industry event. In the last fiscal year ended March 31, BPCL processed nearly 800,000 bpd of crude at its three refineries that have a combined nameplate capacity of 708,000 bpd, he said. Khanna said his firm meets about half of its imported crude requirements through spot purchases. He added that BPCL aims to complete an expansion at its Bina refinery in central India to 220,000 bpd from the current 156,000 bpd by mid-2027. The company hopes to build a 1.2 million ton per year (tpy) petrochemical plant at the Bina refinery by mid-2028, he said, adding the plant would have provision to be expanded to 1.5 million tpy.
       ",BPCL,Energy,1
Fedbank Financial – Why the underperformance merits a look,"Highlights Highlights  Stock underperformance since listing A largely secured asset book, relatively insulated in the face of troubles with unsecured We see tailwinds to the gold loan business with firm prices and weakening competition Strong parentage lends credibility, credit rating upgrade to ease funding cost Margin should remain stable thanks to high-yielding businesses and stable funding costs Credit cost to remain benign on steady asset quality Opex to moderate as operating leverage benefit kicks in Earnings growth decent, the stock beginning to look reasonably ",Fedbank Financial,Financial Services,0
Whirlpool India stock up 10% on Bosch's likely takeover bid for Whirlpool US,"Shares of Whirlpool India surged more than 9 percent on June 27 after it was reported that German engineering group Robert Bosch is considering a bid for the US appliances manufacturer. The stock price was trading 9.34 percent higher at Rs 2,008.6 on NSE at 11:02 am. The move will help Bosch strengthen its position in the household appliances market at a time when the competition with Asian rivals is heating up, Reuters reported on June 26. According to the report, the German company has been discussing the possibility of making an offer for Whirlpool, which has a market capitalisation of around $4.8 billion. Whirlpool has been undergoing a major restructuring in recent years, which has seen it fold its European business into a new company controlled by Turkish rival Arcelik and divest its Middle Eastern and African businesses. Earlier this year, Whirlpool sold 24 percent stake in its Indian arm for $468 million. The sale was conducted through its subsidiary in Mauritius and brought its stake in the entity down from 75 percent to 51 percent, Reuters had reported in February. The stake was picked up by SBI Mutual Fund, Societe Generale, Nippon India Mutual Fund and three others at Rs 1,277 apiece, according to bulk deal data from the BSE.
       ",Whirlpool,Consumer Goods,1
"Video commerce offerings gain traction, Indians spent over 2 million hours video shopping: Flipkart","Homegrown e-commerce platform Flipkart on Thursday said video as a format is rapidly gaining adoption and Indian customers have spent over 2 million hours on its video commerce offerings in the past one year. India is one of the top consumers of internet data, and with Indian consumers becoming increasingly tech-savvy and digitally inclined, video commerce in the country promises great potential. According to Flipkart Indians have spent over 2 million hours on its video commerce offerings, from June 2023 to May 2024. Tier 2 and tier 3 regions comprised 65 per cent of overall video commerce engagement, mostly in categories like fashion, beauty, personal care, home decor and furnishing. The maximum viewership clocked on a single live commerce video was 1.4 million, it added. ""Video as a format is rapidly gaining adoption, especially among women in tier 2 and tier 3 regions, millennials and the Gen Z audience pan India. The top 5 cities leading the way for Flipkart's Video Commerce engagement are NCR, Bangalore, Mumbai, Hyderabad and Kolkata,"" the e-commerce major said. Three main reasons why customers primarily from below the 30 year age group and tier 2 and tier 3 regions flock to this format are relatability, trust, ease of access and interactivity, Flipkart said, adding that direct-to-consumer (D2C) brands, sellers and farmers also see value in video commerce offerings. ""Flipkart's approach to video commerce has left an indelible mark in 2024, with events such as The Farmer's Alphonso Mango Day Live Stream (establishing direct farmer-to-customer connect), Big Bharath D2C livestream, The End Of Season Sale and Zero Hours witnessing strong engagement,"" Walmart-backed Flipkart said. Citing a report by Redseer Consulting, Flipkart said the short-form video industry in India is expected to create a total opportunity of USD 8-12 billion by 2030, and the overall short-video user base will touch 600 million by 2025. ""Flipkart's video commerce offering is designed to meet an array of evolving needs, with the intention of not only creating an enhanced shopping experience but also addressing possible barriers that exist when it comes to online shopping,"" said Neha Agrahari, Senior Director, Video Commerce, Flipkart.
       ",Flipkart,E-commerce,0
